slug,startAt,discoveredAt,discovery_lead_seconds,outcome,yesTouched,noTouched,yesFirstTouchAt,noFirstTouchAt,pnl_per_share,yes_actual_ask,no_actual_ask,actual_touch_pnl_per_share,beijing_day,beijing_hour,time_block
btc-updown-5m-1783268700,2026-07-05 16:25:00+00:00,2026-07-05 16:29:32.063000+00:00,-272.063,single,True,False,2026-07-05T16:29:32.835Z,,-0.29,0.003,,-0.003,2026-07-06,0,00-04
btc-updown-5m-1783269000,2026-07-05 16:30:00+00:00,2026-07-05 16:29:32.088000+00:00,27.912,single,False,True,,2026-07-05T16:30:23.570Z,-0.29,,0.28,-0.28,2026-07-06,0,00-04
btc-updown-5m-1783269300,2026-07-05 16:35:00+00:00,2026-07-05 16:29:32.110000+00:00,327.89,single,True,False,2026-07-05T16:38:00.650Z,,-0.29,0.27,,-0.27,2026-07-06,0,00-04
btc-updown-5m-1783269600,2026-07-05 16:40:00+00:00,2026-07-05 16:30:02.509000+00:00,597.491,paired,True,True,2026-07-05T16:43:15.284Z,2026-07-05T16:44:56.352Z,0.42,0.28,0.29,0.43,2026-07-06,0,00-04
btc-updown-5m-1783269900,2026-07-05 16:45:00+00:00,2026-07-05 16:35:02.577000+00:00,597.423,paired,True,True,2026-07-05T16:49:56.420Z,2026-07-05T16:49:58.612Z,0.42,0.28,0.27,0.44999999999999996,2026-07-06,0,00-04
btc-updown-5m-1783270200,2026-07-05 16:50:00+00:00,2026-07-05 16:40:03.429000+00:00,596.571,paired,True,True,2026-07-05T16:52:03.273Z,2026-07-05T16:54:33.896Z,0.42,0.29,0.29,0.42,2026-07-06,0,00-04
btc-updown-5m-1783270500,2026-07-05 16:55:00+00:00,2026-07-05 16:45:03.331000+00:00,596.669,single,False,True,,2026-07-05T16:55:28.059Z,-0.29,,0.29,-0.29,2026-07-06,0,00-04
btc-updown-5m-1783270800,2026-07-05 17:00:00+00:00,2026-07-05 16:50:03.247000+00:00,596.753,single,False,True,,2026-07-05T17:00:35.193Z,-0.29,,0.29,-0.29,2026-07-06,0,00-04
btc-updown-5m-1783271100,2026-07-05 17:05:00+00:00,2026-07-05 16:55:03.270000+00:00,596.73,single,True,False,2026-07-05T17:05:46.742Z,,-0.29,0.29,,-0.29,2026-07-06,1,00-04
btc-updown-5m-1783271400,2026-07-05 17:10:00+00:00,2026-07-05 17:00:03.312000+00:00,596.688,single,True,False,2026-07-05T17:12:46.936Z,,-0.29,0.29,,-0.29,2026-07-06,1,00-04
btc-updown-5m-1783271700,2026-07-05 17:15:00+00:00,2026-07-05 17:05:03.403000+00:00,596.597,single,True,False,2026-07-05T17:16:53.402Z,,-0.29,0.29,,-0.29,2026-07-06,1,00-04
btc-updown-5m-1783272000,2026-07-05 17:20:00+00:00,2026-07-05 17:10:03.606000+00:00,596.394,paired,True,True,2026-07-05T17:21:38.088Z,2026-07-05T17:22:45.879Z,0.42,0.29,0.25,0.45999999999999996,2026-07-06,1,00-04
btc-updown-5m-1783272300,2026-07-05 17:25:00+00:00,2026-07-05 17:15:03.345000+00:00,596.655,single,True,False,2026-07-05T17:25:28.203Z,,-0.29,0.28,,-0.28,2026-07-06,1,00-04
