round_id,profile_id,entry_at,settled_at,beijing_day,beijing_hour,seconds_to_round_start,pnl,cost,both_fill,single_fill,yes_first_fill_at,no_first_fill_at,both_complete_at,both_complete_seconds_to_start,first_fill_seconds_to_start,yes_fill_quote_age_seconds,no_fill_quote_age_seconds,limit_price,regime,chop_score,center_cross,range_bps,drift_ratio,momentum_ratio,queue_ratio,check_time_gap_seconds
btc-updown-5m-1786852800,btc-5m,2026-08-16 03:55:06.456000+00:00,2026-08-16 04:10:14.195000+00:00,2026-08-16,11,293.5439999103546,-1.15,1.15,False,True,,2026-08-16T04:03:49.919Z,,,-229.919,,0.913,0.29,,,,,,,,
btc-updown-5m-1786852500,btc-5m,2026-08-16 03:50:08.278000+00:00,2026-08-16 04:07:18.325000+00:00,2026-08-16,11,291.72199988365173,2.25,2.75,True,False,2026-08-16T03:55:10.247Z,2026-08-16T03:58:44.626Z,2026-08-16T03:58:44.626Z,-224.626,-10.247,0.189,0.014,0.29,,,,,,,,
btc-updown-15m-1786851900,btc-15m,2026-08-16 03:30:08.352000+00:00,2026-08-16 04:03:28.733000+00:00,2026-08-16,11,891.6480000019073,-1.35,1.35,False,True,,2026-08-16T03:50:25.176Z,,,-325.176,,0.016,0.3,,,,,,,,
btc-updown-5m-1786852200,btc-5m,2026-08-16 03:45:08.736000+00:00,2026-08-16 04:00:44.923000+00:00,2026-08-16,11,291.26399993896484,-1.35,1.35,False,True,,2026-08-16T03:54:06.540Z,,,-246.54,,0.029,0.29,,,,,,,,
btc-updown-5m-1786851900,btc-5m,2026-08-16 03:40:07.850000+00:00,2026-08-16 03:55:08.385000+00:00,2026-08-16,11,292.15000009536743,-1.1,1.1,False,True,,2026-08-16T03:45:12.244Z,,,-12.244,,0.015,0.29,,,,,,,,
btc-updown-15m-1786851000,btc-15m,2026-08-16 03:15:08.489000+00:00,2026-08-16 03:52:08.934000+00:00,2026-08-16,11,891.510999917984,-1.45,1.45,False,True,,2026-08-16T03:38:35.443Z,,,-515.443,,1.217,0.29,,,,,,,,
btc-updown-5m-1786851600,btc-5m,2026-08-16 03:35:03.346000+00:00,2026-08-16 03:48:05.509000+00:00,2026-08-16,11,296.654000043869,-1.35,1.35,False,True,2026-08-16T03:42:30.671Z,,,,-150.671,0.006,,0.29,,,,,,,,
btc-updown-5m-1786851300,btc-5m,2026-08-16 03:30:06.037000+00:00,2026-08-16 03:44:48.369000+00:00,2026-08-16,11,293.9630000591278,-0.8,0.8,False,True,,2026-08-16T03:38:27.832Z,,,-207.832,,1.007,0.29,,,,,,,,
btc-updown-5m-1786851000,btc-5m,2026-08-16 03:25:05.880000+00:00,2026-08-16 03:38:00.906000+00:00,2026-08-16,11,294.1199998855591,2.85,2.15,True,False,2026-08-16T03:31:43.568Z,2026-08-16T03:34:00.690Z,2026-08-16T03:34:00.690Z,-240.69,-103.568,0.013,0.01,0.29,,,,,,,,
btc-updown-15m-1786850100,btc-15m,2026-08-16 03:00:07.810000+00:00,2026-08-16 03:35:10.078000+00:00,2026-08-16,11,892.1900000572205,-1.5,1.5,False,True,2026-08-16T03:17:23.625Z,,,,-143.625,0.013,,0.3,,,,,,,,
btc-updown-5m-1786850700,btc-5m,2026-08-16 03:20:07.642000+00:00,2026-08-16 03:34:43.685000+00:00,2026-08-16,11,292.3580000400543,-1.4,1.4,False,True,,2026-08-16T03:28:45.481Z,,,-225.481,,0.015,0.29,,,,,,,,
btc-updown-5m-1786850400,btc-5m,2026-08-16 03:15:06.359000+00:00,2026-08-16 03:33:48.160000+00:00,2026-08-16,11,293.6410000324249,-1.0,1.0,False,True,2026-08-16T03:22:23.181Z,,,,-143.181,0.003,,0.29,,,,,,,,
btc-updown-5m-1786850100,btc-5m,2026-08-16 03:10:04.071000+00:00,2026-08-16 03:26:01.828000+00:00,2026-08-16,11,295.92899990081787,-1.4,1.4,False,True,2026-08-16T03:16:03.697Z,,,,-63.697,0.042,,0.29,,,,,,,,
btc-updown-5m-1786849800,btc-5m,2026-08-16 03:05:07.453000+00:00,2026-08-16 03:22:51.838000+00:00,2026-08-16,11,292.54699993133545,-1.35,1.35,False,True,2026-08-16T03:11:38.896Z,,,,-98.896,0.028,,0.29,,,,,,,,
btc-updown-15m-1786849200,btc-15m,2026-08-16 02:45:06.837000+00:00,2026-08-16 03:20:17.781000+00:00,2026-08-16,10,893.1630001068115,-1.5,1.5,False,True,2026-08-16T03:11:45.121Z,,,,-705.121,0.003,,0.3,,,,,,,,
btc-updown-5m-1786849500,btc-5m,2026-08-16 03:00:10.058000+00:00,2026-08-16 03:16:41.503000+00:00,2026-08-16,11,289.94199991226196,-1.15,1.15,False,True,,2026-08-16T03:07:02.413Z,,,-122.413,,0.014,0.29,,,,,,,,
btc-updown-5m-1786849200,btc-5m,2026-08-16 02:55:06.436000+00:00,2026-08-16 03:09:02.726000+00:00,2026-08-16,10,293.5639998912811,-0.75,0.75,False,True,2026-08-16T03:01:54.304Z,,,,-114.304,0.004,,0.29,,,,,,,,
btc-updown-15m-1786848300,btc-15m,2026-08-16 02:30:04.165000+00:00,2026-08-16 03:06:40.925000+00:00,2026-08-16,10,895.835000038147,-1.4,1.4,False,True,2026-08-16T02:45:24.135Z,,,,-24.135,0.02,,0.3,,,,,,,,
btc-updown-5m-1786848600,btc-5m,2026-08-16 02:45:08.934000+00:00,2026-08-16 03:04:02.889000+00:00,2026-08-16,10,291.0659999847412,-1.3,1.3,False,True,2026-08-16T02:50:49.483Z,,,,-49.483,0.026,,0.29,,,,,,,,
btc-updown-5m-1786848900,btc-5m,2026-08-16 02:50:07.432000+00:00,2026-08-16 03:04:02.486000+00:00,2026-08-16,10,292.5680000782013,2.15,2.85,True,False,2026-08-16T02:58:25.415Z,2026-08-16T02:55:10.114Z,2026-08-16T02:58:25.415Z,-205.415,-10.114,0.03,0.008,0.29,,,,,,,,
btc-updown-5m-1786848300,btc-5m,2026-08-16 02:40:05.773000+00:00,2026-08-16 02:56:34.222000+00:00,2026-08-16,10,294.22699999809265,-0.85,0.85,False,True,2026-08-16T02:45:17.819Z,,,,-17.819,0.005,,0.29,,,,,,,,
